EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/18/2026 18:11:14.991
Technique started on : 02/18/2026 18:11:17.828
Loaded Setting File :  C:\Users\volt\Documents\Platalytix\Ni10Co10_2-17_01_ZIR_C01.mpr
Saved on :
	File : Co40_2_18_02_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Co40
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              0.200               
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
2.9369001E+003	3.920719921596174E+001	-1.1343154E-001	-3.862287780104207E-002	4.3810523E-006	-1.1354981E-001	0
2.8964426E+003	3.940719921090931E+001	-1.1544964E-001	-3.985911661013530E-002	4.6017208E-006	-1.1554981E-001	0
2.8686748E+003	3.960719920585689E+001	-1.1743445E-001	-4.093682816697725E-002	4.8073939E-006	-1.1754981E-001	0
2.8380876E+003	3.980719920080446E+001	-1.1945936E-001	-4.209149991692195E-002	5.0282238E-006	-1.1954981E-001	0
2.8118079E+003	4.000719919575204E+001	-1.2143145E-001	-4.318625527479464E-002	5.2441696E-006	-1.2154981E-001	0
2.7852217E+003	4.020719919069961E+001	-1.2343491E-001	-4.431780572117949E-002	5.4703642E-006	-1.2354982E-001	0
2.7682458E+003	4.040719918564719E+001	-1.2548868E-001	-4.533147934482118E-002	5.6885879E-006	-1.2554981E-001	0
2.7477759E+003	4.060719918059476E+001	-1.2745756E-001	-4.638571912093337E-002	5.9122103E-006	-1.2754981E-001	0
2.7285293E+003	4.080719917554234E+001	-1.2945150E-001	-4.744368835981688E-002	6.1416567E-006	-1.2954980E-001	0
2.7167397E+003	4.100719917048991E+001	-1.3149613E-001	-4.840218140785924E-002	6.3646994E-006	-1.3154981E-001	0
2.7009014E+003	4.120719916543749E+001	-1.3343702E-001	-4.940462675285584E-002	6.5924064E-006	-1.3354982E-001	0
2.6893171E+003	4.140719916038506E+001	-1.3543753E-001	-5.036131153094370E-002	6.8208119E-006	-1.3554983E-001	0
2.6844043E+003	4.160719915533264E+001	-1.3745946E-001	-5.120668989445709E-002	7.0388437E-006	-1.3754980E-001	0
2.6727627E+003	4.180719915028021E+001	-1.3943748E-001	-5.216979366503338E-002	7.2744247E-006	-1.3954982E-001	0
2.6717292E+003	4.200719914522779E+001	-1.4146344E-001	-5.294826951526244E-002	7.4902446E-006	-1.4154983E-001	0
2.6670378E+003	4.220719914017536E+001	-1.4346224E-001	-5.379085504986314E-002	7.7169570E-006	-1.4354981E-001	0
2.6624480E+003	4.240719913512294E+001	-1.4541778E-001	-5.461807297056942E-002	7.9424390E-006	-1.4554982E-001	0
2.6612058E+003	4.260719913007051E+001	-1.4746156E-001	-5.541156142762105E-002	8.1710750E-006	-1.4754982E-001	0
2.6597397E+003	4.280719912501809E+001	-1.4946951E-001	-5.619704147405902E-002	8.3997438E-006	-1.4954981E-001	0
2.6622668E+003	4.300719911996566E+001	-1.5147467E-001	-5.689687771160901E-002	8.6184355E-006	-1.5154982E-001	0
2.6657400E+003	4.320719911491324E+001	-1.5347388E-001	-5.757271262126507E-002	8.8359075E-006	-1.5354982E-001	0
2.6658557E+003	4.340719910986081E+001	-1.5549923E-001	-5.832995233799654E-002	9.0702633E-006	-1.5554981E-001	0
2.6685264E+003	4.360719910480839E+001	-1.5746664E-001	-5.900883448918393E-002	9.2919227E-006	-1.5754981E-001	0
2.6738252E+003	4.380719909975596E+001	-1.5946989E-001	-5.964110257545441E-002	9.5109599E-006	-1.5954983E-001	0
2.6822241E+003	4.400719909470354E+001	-1.6142243E-001	-6.018230644616446E-002	9.7147740E-006	-1.6154981E-001	0
2.6872922E+003	4.420719908965111E+001	-1.6339917E-001	-6.080439267732859E-002	9.9353874E-006	-1.6354983E-001	0
2.6944307E+003	4.440719908459869E+001	-1.6541581E-001	-6.139174876724079E-002	1.0155166E-005	-1.6554981E-001	0
2.7051790E+003	4.460719907954626E+001	-1.6746724E-001	-6.190615732913352E-002	1.0367253E-005	-1.6754980E-001	0
2.7134358E+003	4.480719907449384E+001	-1.6944419E-001	-6.244635847956792E-002	1.0581172E-005	-1.6954981E-001	0
2.7256975E+003	4.500719906944141E+001	-1.7145087E-001	-6.290164668389631E-002	1.0784542E-005	-1.7154983E-001	0
2.7339802E+003	4.520719906438899E+001	-1.7342654E-001	-6.343372221592636E-002	1.1001091E-005	-1.7354980E-001	0
2.7453486E+003	4.540719905933656E+001	-1.7547923E-001	-6.391874001395215E-002	1.1216412E-005	-1.7554983E-001	0
2.7600388E+003	4.560719905428414E+001	-1.7744814E-001	-6.429190222013426E-002	1.1408479E-005	-1.7754984E-001	0
2.7727915E+003	4.580719904923171E+001	-1.7943038E-001	-6.471109958608412E-002	1.1611137E-005	-1.7954981E-001	0
2.7847617E+003	4.600719904417929E+001	-1.8144085E-001	-6.515488999709951E-002	1.1821759E-005	-1.8154982E-001	0
2.8017156E+003	4.620719903912686E+001	-1.8348572E-001	-6.549048577192451E-002	1.2016569E-005	-1.8354984E-001	0
2.8183669E+003	4.640719903407444E+001	-1.8545863E-001	-6.580358094592798E-002	1.2203842E-005	-1.8554981E-001	0
2.8362937E+003	4.660719902902201E+001	-1.8747082E-001	-6.609711095388768E-002	1.2391280E-005	-1.8754981E-001	0
2.8526108E+003	4.680719902396959E+001	-1.8941996E-001	-6.640231371709349E-002	1.2577923E-005	-1.8954982E-001	0
2.8711074E+003	4.700719901891716E+001	-1.9149324E-001	-6.669665062472696E-002	1.2771958E-005	-1.9154981E-001	0
2.8871130E+003	4.720719901386474E+001	-1.9348420E-001	-6.701649927065345E-002	1.2966634E-005	-1.9354981E-001	0
2.9052793E+003	4.740719900881231E+001	-1.9549192E-001	-6.728851271565173E-002	1.3154361E-005	-1.9554985E-001	0
2.9267688E+003	4.760719900375989E+001	-1.9746462E-001	-6.746847147772464E-002	1.3322636E-005	-1.9754982E-001	0
2.9493418E+003	4.780719899870746E+001	-1.9945557E-001	-6.762714793561397E-002	1.3488611E-005	-1.9954982E-001	0
2.9681685E+003	4.800719899365504E+001	-2.0144060E-001	-6.786697316025717E-002	1.3671164E-005	-2.0154986E-001	0
2.9907290E+003	4.820719898860261E+001	-2.0352897E-001	-6.805329965564821E-002	1.3850818E-005	-2.0354982E-001	0
3.0138584E+003	4.840719898355019E+001	-2.0546646E-001	-6.817389336201313E-002	1.4007449E-005	-2.0554982E-001	0
3.0362068E+003	4.860719897849776E+001	-2.0747884E-001	-6.833488429852191E-002	1.4178042E-005	-2.0754984E-001	0
3.0620527E+003	4.880719897344534E+001	-2.0949906E-001	-6.841784669086343E-002	1.4333475E-005	-2.0954983E-001	0
3.0878596E+003	4.900719896839291E+001	-2.1149448E-001	-6.849225534837849E-002	1.4485734E-005	-2.1154983E-001	0
3.1125308E+003	4.920719896334049E+001	-2.1350814E-001	-6.859631347153261E-002	1.4645871E-005	-2.1354984E-001	0
3.1384644E+003	4.940719895828806E+001	-2.1546812E-001	-6.865399491829582E-002	1.4792748E-005	-2.1554983E-001	0
3.1626482E+003	4.960719895323564E+001	-2.1750790E-001	-6.877398002014212E-002	1.4958884E-005	-2.1754983E-001	0
3.1921094E+003	4.980719894818321E+001	-2.1951731E-001	-6.876872993779704E-002	1.5095926E-005	-2.1954983E-001	0
3.2151467E+003	5.000719894313079E+001	-2.2148915E-001	-6.888928258096749E-002	1.5258229E-005	-2.2154982E-001	0
3.2442126E+003	5.020719893807836E+001	-2.2348373E-001	-6.888689079623908E-002	1.5395099E-005	-2.2354983E-001	0
3.2743350E+003	5.040719893302594E+001	-2.2548486E-001	-6.886432485553595E-002	1.5527863E-005	-2.2554985E-001	0
3.3012207E+003	5.060719892797351E+001	-2.2750978E-001	-6.891686550886428E-002	1.5679261E-005	-2.2754982E-001	0
3.3363635E+003	5.080719892292109E+001	-2.2950689E-001	-6.878953577545122E-002	1.5787673E-005	-2.2954983E-001	0
3.3634338E+003	5.100719891786866E+001	-2.3148173E-001	-6.882303804761014E-002	1.5931277E-005	-2.3154984E-001	0
3.3949788E+003	5.120719891281624E+001	-2.3352867E-001	-6.878648844099844E-002	1.6063617E-005	-2.3354980E-001	0
3.4254302E+003	5.140719890776381E+001	-2.3550883E-001	-6.875306897893863E-002	1.6191954E-005	-2.3554984E-001	0
3.4600164E+003	5.160719890271139E+001	-2.3749615E-001	-6.864017981385419E-002	1.6301779E-005	-2.3754984E-001	0
3.4889307E+003	5.180719889765896E+001	-2.3948120E-001	-6.864028595717397E-002	1.6438058E-005	-2.3954983E-001	0
3.5251411E+003	5.200719889260654E+001	-2.4153094E-001	-6.851667094798347E-002	1.6548896E-005	-2.4154983E-001	0
3.5551836E+003	5.220719888755411E+001	-2.4349768E-001	-6.849088773549528E-002	1.6677373E-005	-2.4354984E-001	0
3.5891670E+003	5.240719888250169E+001	-2.4546933E-001	-6.839172680262495E-002	1.6788072E-005	-2.4554984E-001	0
3.6277791E+003	5.260719887744926E+001	-2.4744245E-001	-6.820769465629806E-002	1.6877479E-005	-2.4754982E-001	0
3.6597686E+003	5.280719887239684E+001	-2.4947076E-001	-6.816572119120745E-002	1.7005354E-005	-2.4954985E-001	0
3.6932283E+003	5.300719886734441E+001	-2.5149226E-001	-6.809551058740460E-002	1.7125494E-005	-2.5154981E-001	0
3.7299077E+003	5.320719886229199E+001	-2.5343972E-001	-6.794799002185248E-002	1.7220720E-005	-2.5354981E-001	0
3.7585237E+003	5.340719885723956E+001	-2.5547883E-001	-6.797318756443060E-002	1.7365710E-005	-2.5554985E-001	0
3.7923835E+003	5.360719885218714E+001	-2.5745431E-001	-6.788720015928451E-002	1.7477852E-005	-2.5754982E-001	0
3.8345737E+003	5.380719884713471E+001	-2.5947562E-001	-6.766739392087140E-002	1.7558039E-005	-2.5954983E-001	0
3.8700217E+003	5.400719884208229E+001	-2.6152980E-001	-6.757838125530713E-002	1.7673761E-005	-2.6154980E-001	0
3.9072957E+003	5.420719883702986E+001	-2.6342103E-001	-6.741773477457713E-002	1.7759248E-005	-2.6354983E-001	0
3.9399219E+003	5.440719883197744E+001	-2.6546994E-001	-6.737949101670393E-002	1.7887229E-005	-2.6554984E-001	0
3.9778010E+003	5.460719882692501E+001	-2.6748314E-001	-6.724397230960955E-002	1.7986629E-005	-2.6754987E-001	0
4.0132646E+003	5.480719882187259E+001	-2.6942912E-001	-6.713464825842824E-002	1.8088029E-005	-2.6954982E-001	0
4.0579209E+003	5.500719881682016E+001	-2.7148926E-001	-6.690353689643436E-002	1.8163591E-005	-2.7154982E-001	0
4.0936040E+003	5.520719881176774E+001	-2.7350038E-001	-6.681163546939717E-002	1.8273007E-005	-2.7354982E-001	0
4.1289932E+003	5.540719880671531E+001	-2.7545440E-001	-6.671224278239474E-002	1.8376180E-005	-2.7554983E-001	0
4.1683833E+003	5.560719880166289E+001	-2.7748078E-001	-6.656795974225327E-002	1.8471330E-005	-2.7754983E-001	0
4.2056606E+003	5.580719879661046E+001	-2.7948555E-001	-6.645461743224468E-002	1.8573106E-005	-2.7954984E-001	0
4.2373398E+003	5.600719879155804E+001	-2.8146017E-001	-6.642379077698402E-002	1.8695651E-005	-2.8154981E-001	0
4.2792061E+003	5.620719878650561E+001	-2.8347212E-001	-6.624409353915928E-002	1.8778353E-005	-2.8354985E-001	0
4.3156870E+003	5.640719878145319E+001	-2.8549555E-001	-6.615297691611488E-002	1.8886380E-005	-2.8554982E-001	0
4.3541592E+003	5.660719877640076E+001	-2.8742138E-001	-6.601076375676196E-002	1.8972905E-005	-2.8754985E-001	0
4.3926484E+003	5.680719877134834E+001	-2.8942761E-001	-6.588908967450097E-002	1.9070121E-005	-2.8954983E-001	0
4.4344766E+003	5.700719876629591E+001	-2.9144356E-001	-6.572220226445680E-002	1.9154313E-005	-2.9154983E-001	0
4.4745469E+003	5.720719876124349E+001	-2.9343539E-001	-6.557879423196755E-002	1.9243140E-005	-2.9354984E-001	0
4.5154761E+003	5.740719875619106E+001	-2.9546753E-001	-6.543441194578453E-002	1.9333744E-005	-2.9554984E-001	0
4.5514590E+003	5.760719875113864E+001	-2.9741114E-001	-6.534413277866333E-002	1.9434074E-005	-2.9754984E-001	0
4.5888999E+003	5.780719874608621E+001	-2.9946494E-001	-6.525854539345799E-002	1.9542647E-005	-2.9954982E-001	0
4.6318579E+003	5.800719874103379E+001	-3.0146480E-001	-6.508506848761911E-002	1.9620857E-005	-3.0154985E-001	0
4.6667583E+003	5.820719873598136E+001	-3.0343240E-001	-6.501995203984878E-002	1.9729161E-005	-3.0354983E-001	0
4.7013320E+003	5.840719873092894E+001	-3.0542591E-001	-6.496582129946954E-002	1.9842246E-005	-3.0554983E-001	0
4.7484849E+003	5.860719872587651E+001	-3.0743912E-001	-6.474467429761116E-002	1.9905046E-005	-3.0754983E-001	0
4.7920337E+003	5.880719872082409E+001	-3.0952984E-001	-6.459258424061148E-002	1.9993333E-005	-3.0954984E-001	0
4.8348188E+003	5.900719871577166E+001	-3.1149808E-001	-6.442807485452950E-002	2.0069221E-005	-3.1154981E-001	0
4.8690278E+003	5.920719871071924E+001	-3.1349730E-001	-6.438601734866375E-002	2.0184843E-005	-3.1354985E-001	0
4.9103169E+003	5.940719870566681E+001	-3.1547934E-001	-6.424826526509675E-002	2.0269001E-005	-3.1554982E-001	0
4.9418442E+003	5.960719870061439E+001	-3.1744951E-001	-6.423705609097152E-002	2.0392023E-005	-3.1754982E-001	0
4.9908003E+003	5.980719869556197E+001	-3.1947654E-001	-6.401308699481417E-002	2.0450680E-005	-3.1954986E-001	0
5.0315918E+003	6.000719869050954E+001	-3.2146072E-001	-6.388847620169413E-002	2.0537636E-005	-3.2154986E-001	0
5.0746846E+003	6.020719868545712E+001	-3.2350132E-001	-6.374806388811383E-002	2.0622583E-005	-3.2354984E-001	0
5.1089331E+003	6.040719868040469E+001	-3.2546362E-001	-6.370481285382745E-002	2.0733600E-005	-3.2554984E-001	0
5.1330820E+003	6.060719867535227E+001	-3.2747409E-001	-6.379677597412226E-002	2.0891792E-005	-3.2754984E-001	0
5.1620366E+003	6.080719867029984E+001	-3.2946312E-001	-6.382425207974157E-002	2.1027738E-005	-3.2954982E-001	0
5.2183354E+003	6.100719866524742E+001	-3.3145878E-001	-6.351810610903813E-002	2.1053635E-005	-3.3154982E-001	0
5.2566006E+003	6.120719866019499E+001	-3.3345562E-001	-6.343560485758493E-002	2.1152959E-005	-3.3354983E-001	0
5.2983076E+003	6.140719865514257E+001	-3.3546719E-001	-6.331591339741749E-002	2.1240412E-005	-3.3554983E-001	0
5.3569473E+003	6.160719865009014E+001	-3.3750108E-001	-6.300250387511935E-002	2.1263413E-005	-3.3754984E-001	0
5.3917134E+003	6.180719864503772E+001	-3.3944526E-001	-6.295684588515527E-002	2.1370402E-005	-3.3954984E-001	0
5.4247705E+003	6.200719863998529E+001	-3.4148416E-001	-6.294905376206687E-002	2.1496106E-005	-3.4154981E-001	0
5.4657783E+003	6.220719863493287E+001	-3.4346011E-001	-6.283828098899247E-002	2.1582444E-005	-3.4354985E-001	0
5.5014048E+003	6.240719862988044E+001	-3.4548971E-001	-6.280027288001627E-002	2.1696847E-005	-3.4554982E-001	0
5.5419956E+003	6.260719862482802E+001	-3.4744626E-001	-6.269334883707856E-002	2.1782569E-005	-3.4754983E-001	0
5.5760298E+003	6.280719861977559E+001	-3.4945270E-001	-6.267052064406914E-002	2.1900383E-005	-3.4954986E-001	0
5.6165464E+003	6.300719861472317E+001	-3.5143048E-001	-6.257056430945190E-002	2.1989203E-005	-3.5154983E-001	0
5.6563403E+003	6.320719860967074E+001	-3.5350591E-001	-6.249728280408928E-002	2.2093158E-005	-3.5354984E-001	0
5.6845723E+003	6.340719860461832E+001	-3.5544741E-001	-6.252843670572372E-002	2.2225571E-005	-3.5554984E-001	0
5.7288672E+003	6.360719859956589E+001	-3.5748464E-001	-6.240058151261685E-002	2.2307249E-005	-3.5754988E-001	0
5.7488154E+003	6.380719859451347E+001	-3.5945842E-001	-6.252738788233989E-002	2.2475995E-005	-3.5954985E-001	0
5.7785474E+003	6.400719858946104E+001	-3.6143389E-001	-6.254753305538718E-002	2.2606799E-005	-3.6154985E-001	0
5.8181182E+003	6.420719858440862E+001	-3.6344436E-001	-6.246768446510353E-002	2.2703527E-005	-3.6354983E-001	0
5.8609712E+003	6.440719857935619E+001	-3.6548263E-001	-6.235871480064063E-002	2.2791028E-005	-3.6554986E-001	0
5.8845552E+003	6.460719857430377E+001	-3.6750096E-001	-6.245178479887126E-002	2.2951092E-005	-3.6754984E-001	0
5.9187432E+003	6.480719856925134E+001	-3.6944208E-001	-6.241900627364050E-002	2.3060207E-005	-3.6954981E-001	0
5.9477441E+003	6.500719856419892E+001	-3.7146848E-001	-6.245535790979406E-002	2.3200197E-005	-3.7154984E-001	0
5.9920386E+003	6.520719855914649E+001	-3.7347662E-001	-6.232880939235341E-002	2.3278353E-005	-3.7354982E-001	0
6.0214614E+003	6.540719855409407E+001	-3.7546799E-001	-6.235496096773385E-002	2.3412291E-005	-3.7554982E-001	0
6.0665908E+003	6.560719854904164E+001	-3.7746039E-001	-6.221952107988382E-002	2.3485405E-005	-3.7754986E-001	0
6.1111538E+003	6.580719854398922E+001	-3.7948683E-001	-6.209741319189699E-002	2.3565150E-005	-3.7954983E-001	0
6.1502305E+003	6.600719853893679E+001	-3.8145354E-001	-6.202264195160262E-002	2.3658757E-005	-3.8154987E-001	0
6.1777798E+003	6.620719853388437E+001	-3.8345641E-001	-6.207025991942849E-002	2.3801240E-005	-3.8354984E-001	0
6.1958345E+003	6.640719852883194E+001	-3.8543677E-001	-6.220901631348896E-002	2.3977642E-005	-3.8554981E-001	0
6.2254917E+003	6.660719852377952E+001	-3.8750196E-001	-6.224439502535317E-002	2.4119825E-005	-3.8754985E-001	0
6.2584429E+003	6.680719851872709E+001	-3.8947681E-001	-6.223222037487997E-002	2.4238007E-005	-3.8954982E-001	0
6.2934922E+003	6.700719851367467E+001	-3.9148244E-001	-6.220432415249788E-002	2.4351901E-005	-3.9154986E-001	0
6.3288389E+003	6.720719850862224E+001	-3.9348167E-001	-6.217280520884372E-002	2.4463860E-005	-3.9354983E-001	0
6.3569653E+003	6.740719850356982E+001	-3.9548025E-001	-6.221211066072541E-002	2.4603662E-005	-3.9554986E-001	0
6.3832949E+003	6.760719849851739E+001	-3.9745429E-001	-6.226475512748281E-002	2.4747394E-005	-3.9754984E-001	0
6.4201221E+003	6.780719849346497E+001	-3.9945728E-001	-6.221957518265085E-002	2.4854062E-005	-3.9954987E-001	0
6.4491704E+003	6.800719848841254E+001	-4.0144548E-001	-6.224761510113672E-002	2.4989024E-005	-4.0154988E-001	0
6.4802417E+003	6.820719848336012E+001	-4.0343428E-001	-6.225605605828993E-002	2.5116227E-005	-4.0354988E-001	0
6.5072896E+003	6.840719847830769E+001	-4.0549421E-001	-6.231384061735201E-002	2.5267902E-005	-4.0554982E-001	0
6.5311172E+003	6.860719847325527E+001	-4.0747884E-001	-6.239037505401662E-002	2.5422758E-005	-4.0754986E-001	0
6.5526880E+003	6.880719846820284E+001	-4.0948465E-001	-6.249109609897249E-002	2.5589145E-005	-4.0954989E-001	0
6.5786460E+003	6.900719846315042E+001	-4.1142553E-001	-6.253954648122595E-002	2.5730365E-005	-4.1154987E-001	0
6.6084937E+003	6.920719845809799E+001	-4.1354397E-001	-6.257764474898520E-002	2.5878608E-005	-4.1354984E-001	0
6.6337778E+003	6.940719845304557E+001	-4.1548356E-001	-6.263151769462945E-002	2.6022366E-005	-4.1554987E-001	0
6.6686763E+003	6.960719844799314E+001	-4.1750237E-001	-6.260648284470688E-002	2.6138356E-005	-4.1754985E-001	0
6.7134595E+003	6.980719844294072E+001	-4.1952494E-001	-6.249012650453145E-002	2.6216167E-005	-4.1954985E-001	0
6.7380664E+003	7.000719843788829E+001	-4.2150572E-001	-6.255588642914950E-002	2.6367665E-005	-4.2154986E-001	0
6.7739902E+003	7.020719843283587E+001	-4.2351955E-001	-6.252142983961817E-002	2.6479049E-005	-4.2354989E-001	0
6.7934800E+003	7.040719842778344E+001	-4.2549777E-001	-6.263325386733457E-002	2.6650310E-005	-4.2554983E-001	0
6.8207871E+003	7.060719842273102E+001	-4.2751506E-001	-6.267825707153341E-002	2.6795899E-005	-4.2754987E-001	0
6.8424639E+003	7.080719841767859E+001	-4.2948312E-001	-6.276732062036072E-002	2.6957505E-005	-4.2954990E-001	0
6.8689478E+003	7.100719841262617E+001	-4.3147939E-001	-6.281593637678240E-002	2.7103782E-005	-4.3154985E-001	0
6.8960283E+003	7.120719840757374E+001	-4.3346161E-001	-6.285670283514488E-002	2.7245967E-005	-4.3354985E-001	0
6.9188149E+003	7.140719840252132E+001	-4.3548462E-001	-6.294208186543448E-002	2.7410308E-005	-4.3554989E-001	0
6.9468003E+003	7.160719839746889E+001	-4.3750235E-001	-6.297897350026149E-002	2.7553449E-005	-4.3754986E-001	0
6.9689082E+003	7.180719839241647E+001	-4.3951678E-001	-6.306824313799808E-002	2.7719550E-005	-4.3954986E-001	0
7.0061860E+003	7.200719838736404E+001	-4.4149819E-001	-6.301548129186285E-002	2.7821221E-005	-4.4154987E-001	0
7.0411333E+003	7.220719838231162E+001	-4.4348830E-001	-6.298535564056951E-002	2.7933269E-005	-4.4354987E-001	0
7.0705547E+003	7.240719837725919E+001	-4.4551790E-001	-6.301031781037403E-002	2.8072225E-005	-4.4554985E-001	0
7.0919453E+003	7.260719837220677E+001	-4.4751841E-001	-6.310235109716589E-002	2.8239463E-005	-4.4754982E-001	0
7.1187300E+003	7.280719836715434E+001	-4.4951278E-001	-6.314507914050282E-002	2.8384520E-005	-4.4954988E-001	0
7.1400273E+003	7.300719836210192E+001	-4.5150352E-001	-6.323554257327990E-002	2.8551070E-005	-4.5154989E-001	0
7.1769453E+003	7.320719835704949E+001	-4.5349640E-001	-6.318794182330632E-002	2.8655504E-005	-4.5354986E-001	0
7.2022949E+003	7.340719835199707E+001	-4.5551383E-001	-6.324565172609331E-002	2.8809269E-005	-4.5554987E-001	0
7.2187910E+003	7.360719834694464E+001	-4.5750695E-001	-6.337722629369980E-002	2.8995522E-005	-4.5754987E-001	0
7.2623599E+003	7.380719834189222E+001	-4.5951274E-001	-6.327320014965010E-002	2.9074841E-005	-4.5954981E-001	0
7.2823457E+003	7.400719833683979E+001	-4.6151966E-001	-6.337513581399801E-002	2.9248871E-005	-4.6154988E-001	0
7.3144941E+003	7.420719833178737E+001	-4.6346432E-001	-6.336245577636701E-002	2.9366238E-005	-4.6354988E-001	0
7.3380366E+003	7.440719832673494E+001	-4.6552104E-001	-6.343945209623247E-002	2.9532399E-005	-4.6554989E-001	0
7.3815508E+003	7.460719832168252E+001	-4.6752498E-001	-6.333695918896054E-002	2.9611610E-005	-4.6754983E-001	0
7.4106353E+003	7.480719831663009E+001	-4.6951827E-001	-6.335735842986856E-002	2.9747438E-005	-4.6954986E-001	0
7.4396045E+003	7.500719831157767E+001	-4.7149244E-001	-6.337600839039204E-002	2.9881308E-005	-4.7154990E-001	0
7.4680151E+003	7.520719830652524E+001	-4.7350121E-001	-6.340389017463399E-002	3.0021818E-005	-4.7354984E-001	0
7.5006475E+003	7.540719830147282E+001	-4.7553864E-001	-6.339967815847469E-002	3.0148996E-005	-4.7554985E-001	0
7.5354116E+003	7.560719829642039E+001	-4.7757566E-001	-6.337751351326493E-002	3.0267558E-005	-4.7754988E-001	0
7.5689775E+003	7.580719829136797E+001	-4.7946155E-001	-6.334561684333584E-002	3.0371788E-005	-4.7954985E-001	0
7.6051367E+003	7.600719828631554E+001	-4.8148200E-001	-6.331010304798979E-002	3.0482675E-005	-4.8154986E-001	0
7.6489390E+003	7.620719828126312E+001	-4.8352095E-001	-6.321412295286774E-002	3.0565352E-005	-4.8354989E-001	0
7.6724761E+003	7.640719827621069E+001	-4.8550877E-001	-6.327928026690433E-002	3.0722644E-005	-4.8554987E-001	0
7.6977217E+003	7.660719827115827E+001	-4.8746553E-001	-6.332594706505823E-002	3.0869218E-005	-4.8754984E-001	0
7.7291235E+003	7.680719826610584E+001	-4.8952624E-001	-6.333528381197895E-002	3.1004285E-005	-4.8954988E-001	0
7.7562314E+003	7.700719826105342E+001	-4.9152681E-001	-6.337186102090131E-002	3.1148968E-005	-4.9154991E-001	0
7.7975225E+003	7.720719825600099E+001	-4.9348336E-001	-6.328720057619730E-002	3.1231182E-005	-4.9354985E-001	0
7.8282271E+003	7.740719825094857E+001	-4.9555644E-001	-6.330378982396856E-002	3.1370600E-005	-4.9554986E-001	0
7.8735444E+003	7.760719824589614E+001	-4.9747524E-001	-6.318313818712151E-002	3.1432046E-005	-4.9754989E-001	0
7.9043232E+003	7.780719824084372E+001	-4.9955207E-001	-6.319985475735374E-002	3.1571617E-005	-4.9954987E-001	0
7.9468892E+003	7.800719823579129E+001	-5.0155711E-001	-6.311363958470673E-002	3.1655094E-005	-5.0154990E-001	0
7.9887725E+003	7.820719823073887E+001	-5.0354558E-001	-6.303165999743787E-002	3.1739313E-005	-5.0354987E-001	0
8.0287852E+003	7.840719822568644E+001	-5.0551802E-001	-6.296320359302843E-002	3.1829033E-005	-5.0554991E-001	0
8.0643037E+003	7.860719822063402E+001	-5.0754881E-001	-6.293770928746811E-002	3.1943960E-005	-5.0754982E-001	0
8.0993179E+003	7.880719821558159E+001	-5.0951028E-001	-6.290780106779048E-002	3.2052172E-005	-5.0954986E-001	0
8.1386636E+003	7.900719821052917E+001	-5.1153165E-001	-6.285204507923670E-002	3.2150809E-005	-5.1154989E-001	0
8.2004932E+003	7.920719820547674E+001	-5.1352447E-001	-6.262116780812910E-002	3.2157503E-005	-5.1354986E-001	0
8.2389424E+003	7.940719820042432E+001	-5.1556063E-001	-6.257606817825390E-002	3.2261756E-005	-5.1554984E-001	0
8.2726572E+003	7.960719819537189E+001	-5.1750916E-001	-6.255657973756265E-002	3.2373602E-005	-5.1754987E-001	0
8.3098662E+003	7.980719819031947E+001	-5.1955014E-001	-6.252208383766555E-002	3.2483356E-005	-5.1954985E-001	0
8.3538779E+003	8.000719818526704E+001	-5.2150214E-001	-6.242635338609426E-002	3.2555476E-005	-5.2154988E-001	0
8.4029570E+003	8.020719818021462E+001	-5.2353060E-001	-6.230313589747838E-002	3.2617598E-005	-5.2354985E-001	0
8.4437969E+003	8.040719817516219E+001	-5.2552480E-001	-6.223797143907905E-002	3.2707598E-005	-5.2554989E-001	0
8.4917891E+003	8.060719817010977E+001	-5.2751207E-001	-6.212024927369453E-002	3.2769181E-005	-5.2754986E-001	0
