EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : 50 kHz
Channel : Grounded
Acquisition started on : 02/26/2026 16:39:17.537
Technique started on : 02/26/2026 16:39:20.219
Loaded Setting File :  NONE
Saved on :
	File : Ni10Co10_2_26_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Ni10Co10
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
1.1513245E+004	3.955119919599383E+001	-5.1837075E-001	-4.502386254519269E-002	2.3339053E-005	-5.1853079E-001	0
1.1628749E+004	3.977119919043616E+001	-5.2059281E-001	-4.476773833096503E-002	2.3305764E-005	-5.2073067E-001	0
1.1668132E+004	3.999119918487850E+001	-5.2276838E-001	-4.480309302806684E-002	2.3421640E-005	-5.2293068E-001	0
1.1726831E+004	4.019119917982607E+001	-5.2477789E-001	-4.475018647451856E-002	2.3483908E-005	-5.2493060E-001	0
1.1772140E+004	4.039119917477365E+001	-5.2677643E-001	-4.474772157225647E-002	2.3572045E-005	-5.2693051E-001	0
1.1821504E+004	4.059119916972122E+001	-5.2878422E-001	-4.473070622883246E-002	2.3652892E-005	-5.2893049E-001	0
1.1874931E+004	4.079119916466880E+001	-5.3078640E-001	-4.469806144236821E-002	2.3725122E-005	-5.3093040E-001	0
1.1929979E+004	4.099119915961637E+001	-5.3278530E-001	-4.465936605085763E-002	2.3793853E-005	-5.3293025E-001	0
1.1989277E+004	4.119119915456395E+001	-5.3477168E-001	-4.460416426971897E-002	2.3853045E-005	-5.3493029E-001	0
1.2044984E+004	4.139119914951152E+001	-5.3677827E-001	-4.456446301841442E-002	2.3921235E-005	-5.3693020E-001	0
1.2089910E+004	4.159119914445910E+001	-5.3876907E-001	-4.456352935433450E-002	2.4009450E-005	-5.3893012E-001	0
1.2153392E+004	4.179119913940667E+001	-5.4078329E-001	-4.449649098304964E-002	2.4062958E-005	-5.4093009E-001	0
